MAGNET_X, TEMP_HUM_timestamp, MAGNET_Z, MAGNET_Y, ACC_Y, ACC_X, GYRO_Y_timestamp, ACC_Z, PRESSURE, MAGNET_Y_timestamp, GYRO_X_timestamp, ACC_Y_timestamp, TEMP_PRESS, TEMP_PRESS_timestamp, TEMP_HUM, HUMIDITY, MAGNET_Z_timestamp, PRESSURE_timestamp, MAGNET_X_timestamp, ACC_X_timestamp, GYRO_Z_timestamp, HUMIDITY_timestamp, assetName, ACC_Z_timestamp, GYRO_X, GYRO_Y, GYRO_Z
3.4856486, 1645622612906, 14.708785, -28.57759, 0.0036366887, 0.15975751, 1645622612906, 0.99257725, 998.01245, 1645622612906, 1645622612906, 1645622612906, 34.683334, 1645622612906, 36.153427, 21.034832, 1645622612906, 1645622612906, 1645622612906, 1645622612906, 1645622612906, 1645622612906, asset-sensehat, 1645622612906, 0.52116597, 0.07962151, -0.04673805
3.3995187, 1645622613150, 14.7140465, -28.579426, 0.003151797, 0.15927193, 1645622613150, 0.9869723, 998.0242, 1645622613150, 1645622613150, 1645622613150, 34.685417, 1645622613150, 36.226715, 20.977776, 1645622613150, 1645622613150, 1645622613150, 1645622613150, 1645622613150, 1645622613150, asset-sensehat, 1645622613150, 0.5486549, 0.087257326, -0.047348917
3.3488865, 1645622613387, 14.729292, -28.679443, 0.008970499, 0.15854354, 1645622613387, 0.9833168, 998.031, 1645622613387, 1645622613387, 1645622613387, 34.68125, 1645622613387, 36.171745, 20.931416, 1645622613387, 1645622613387, 1645622613387, 1645622613387, 1645622613387, 1645622613387, asset-sensehat, 1645622613387, -0.5098649, -0.0692368, 0.047959782
3.3864639, 1645622613624, 14.679921, -28.688446, 0.035154656, 0.24497771, 1645622613624, 1.1285601, 998.02295, 1645622613624, 1645622613624, 1645622613624, 34.675, 1645622613624, 36.171745, 20.863659, 1645622613624, 1645622613624, 1645622613624, 1645622613624, 1645622613624, 1645622613624, asset-sensehat, 1645622613624, -0.720308, -0.07229112, 0.036658775
3.2816846, 1645622613864, 14.761639, -28.750797, -4.936713E-4, 0.1862219, 1645622613864, 1.0040311, 998.0571, 1645622613864, 1645622613864, 1645622613864, 34.675, 1645622613864, 36.171745, 20.885056, 1645622613864, 1645622613864, 1645622613864, 1645622613864, 1645622613864, 1645622613864, asset-sensehat, 1645622613864, -0.5950806, -0.0973366, 0.04460002
3.2497241, 1645622614102, 14.531168, -28.822195, 0.0019395674, 0.16169986, 1645622614102, 0.9969638, 998.02246, 1645622614102, 1645622614102, 1645622614102, 34.66875, 1645622614102, 36.153427, 20.974209, 1645622614102, 1645622614102, 1645622614102, 1645622614102, 1645622614102, 1645622614102, asset-sensehat, 1645622614102, -0.45427617, -0.045718484, 0.045210887
3.290391, 1645622614338, 14.885244, -28.886618, 0.010425175, 0.15514445, 1645622614338, 0.9857537, 998.00415, 1645622614338, 1645622614338, 1645622614338, 34.666668, 1645622614338, 36.153427, 20.920717, 1645622614338, 1645622614338, 1645622614338, 1645622614338, 1645622614338, 1645622614338, asset-sensehat, 1645622614338, -0.47199127, -0.061906412, 0.049181513
3.2902696, 1645622614583, 14.945047, -28.976364, 0.0065460396, 0.15611564, 1645622614583, 0.98599744, 998.0183, 1645622614583, 1645622614583, 1645622614583, 34.666668, 1645622614583, 36.19007, 20.842262, 1645622614583, 1645622614583, 1645622614583, 1645622614583, 1645622614583, 1645622614583, asset-sensehat, 1645622614583, 0.49306613, 0.06251728, -0.049181513
3.2539244, 1645622614822, 15.084571, -29.692356, 0.005818702, 0.16097148, 1645622614822, 0.98599744, 998.04346, 1645622614822, 1645622614822, 1645622614822, 34.66875, 1645622614822, 36.171745, 20.942114, 1645622614822, 1645622614822, 1645622614822, 1645622614822, 1645622614822, 1645622614822, asset-sensehat, 1645622614822, -0.49673134, -0.06496074, 0.04979238
3.227179, 1645622615071, 15.017328, -29.596764, 0.009212945, 0.15611564, 1645622615071, 0.9886781, 998.00757, 1645622615071, 1645622615071, 1645622615071, 34.670834, 1645622615071, 36.171745, 21.027699, 1645622615071, 1645622615071, 1645622615071, 1645622615071, 1645622615071, 1645622615071, asset-sensehat, 1645622615071, 0.50253457, 0.065877035, -0.048570648
3.2108665, 1645622615310, 14.599157, -29.408901, 0.00533381, 0.15975751, 1645622615310, 0.98599744, 997.99365, 1645622615310, 1645622615310, 1645622615310, 34.666668, 1645622615310, 36.19007, 21.141815, 1645622615310, 1645622615310, 1645622615310, 1645622615310, 1645622615310, 1645622615310, asset-sensehat, 1645622615310, -0.5052835, -0.0674042, 0.050403245
3.2578795, 1645622615547, 14.616009, -29.190922, 0.0070309318, 0.15708679, 1645622615547, 0.9857537, 997.98364, 1645622615547, 1645622615547, 1645622615547, 34.66875, 1645622615547, 36.153427, 21.141815, 1645622615547, 1645622615547, 1645622615547, 1645622615547, 1645622615547, 1645622615547, asset-sensehat, 1645622615547, 0.50009114, 0.065571606, -0.05193041
3.2683427, 1645622615797, 14.519983, -29.068214, 0.005818702, 0.1604859, 1645622615797, 0.9857537, 998.0464, 1645622615797, 1645622615797, 1645622615797, 34.66875, 1645622615797, 36.20839, 20.956379, 1645622615797, 1645622615797, 1645622615797, 1645622615797, 1645622615797, 1645622615797, asset-sensehat, 1645622615797, -0.49031729, -0.061600987, 0.05101411
3.2564082, 1645622616044, 14.437619, -29.127586, 0.006303594, 0.15927193, 1645622616044, 0.98721594, 998.0676, 1645622616044, 1645622616044, 1645622616044, 34.670834, 1645622616044, 36.153427, 20.860092, 1645622616044, 1645622616044, 1645622616044, 1645622616044, 1645622616044, 1645622616044, asset-sensehat, 1645622616044, 0.48665208, 0.062211853, -0.050708678
3.183299, 1645622616296, 14.651936, -29.120373, 0.008000716, 0.15878634, 1645622616296, 0.98672855, 998.0342, 1645622616296, 1645622616296, 1645622616296, 34.672916, 1645622616296, 36.19007, 21.081192, 1645622616296, 1645622616296, 1645622616296, 1645622616296, 1645622616296, 1645622616296, asset-sensehat, 1645622616296, -0.57003516, -0.06312815, 0.050708678
3.1400876, 1645622616536, 14.646609, -28.963894, 0.006303594, 0.15927193, 1645622616536, 0.98551005, 998.0122, 1645622616536, 1645622616536, 1645622616536, 34.66875, 1645622616536, 36.20839, 20.831566, 1645622616536, 1645622616536, 1645622616536, 1645622616536, 1645622616536, 1645622616536, asset-sensehat, 1645622616536, 0.6497531, 0.061600987, -0.051319543
3.1525335, 1645622616784, 14.461883, -28.938938, 0.005576256, 0.15635842, 1645622616784, 0.9864848, 997.9878, 1645622616784, 1645622616784, 1645622616784, 34.677082, 1645622616784, 36.226715, 20.73528, 1645622616784, 1645622616784, 1645622616784, 1645622616784, 1645622616784, 1645622616784, asset-sensehat, 1645622616784, -0.5746166, -0.061600987, 0.051624976
3.174559, 1645622617034, 14.366352, -28.985655, 0.005091364, 0.15975751, 1645622617034, 0.98672855, 997.96655, 1645622617034, 1645622617034, 1645622617034, 34.677082, 1645622617034, 36.19007, 20.970642, 1645622617034, 1645622617034, 1645622617034, 1645622617034, 1645622617034, 1645622617034, asset-sensehat, 1645622617034, 0.50284, 0.061600987, -0.050097812
3.1613948, 1645622617274, 14.343133, -28.849445, 0.006061148, 0.15927193, 1645622617274, 0.9898966, 998.05884, 1645622617274, 1645622617274, 1645622617274, 34.68125, 1645622617274, 36.19007, 21.548351, 1645622617274, 1645622617274, 1645622617274, 1645622617274, 1645622617274, 1645622617274, asset-sensehat, 1645622617274, -0.5040617, -0.06312814, 0.048265215
3.1624446, 1645622617518, 14.418128, -28.780823, 0.00533381, 0.15951473, 1645622617518, 0.98551005, 998.0012, 1645622617518, 1645622617518, 1645622617518, 34.685417, 1645622617518, 36.20839, 20.696053, 1645622617518, 1645622617518, 1645622617518, 1645622617518, 1645622617518, 1645622617518, asset-sensehat, 1645622617518, 0.51017034, 0.064655304, -0.046432618
